clave,valor,descripcion,valor actual
buildings.TH-61.units.61-302.progress,,TH-61 · apto 61-302 · avance (%),0
buildings.TH-61.units.61-302.phase,,TH-61 · apto 61-302 · fase,Obra común
buildings.TH-62.units.62-101.progress,,TH-62 · apto 62-101 · avance (%),0
buildings.TH-62.units.62-101.phase,,TH-62 · apto 62-101 · fase,Obra común
buildings.TH-62.units.62-102.progress,,TH-62 · apto 62-102 · avance (%),0
buildings.TH-62.units.62-102.phase,,TH-62 · apto 62-102 · fase,Obra común
buildings.TH-62.units.62-201.progress,,TH-62 · apto 62-201 · avance (%),0
buildings.TH-62.units.62-201.phase,,TH-62 · apto 62-201 · fase,Obra común
buildings.TH-62.units.62-202.progress,,TH-62 · apto 62-202 · avance (%),0
buildings.TH-62.units.62-202.phase,,TH-62 · apto 62-202 · fase,Obra común
buildings.TH-62.units.62-301.progress,,TH-62 · apto 62-301 · avance (%),0
buildings.TH-62.units.62-301.phase,,TH-62 · apto 62-301 · fase,Obra común
buildings.TH-62.units.62-302.progress,,TH-62 · apto 62-302 · avance (%),0
buildings.TH-62.units.62-302.phase,,TH-62 · apto 62-302 · fase,Obra común
buildings.TH-63.units.63-101.progress,,TH-63 · apto 63-101 · avance (%),0
buildings.TH-63.units.63-101.phase,,TH-63 · apto 63-101 · fase,Obra común
buildings.TH-63.units.63-102.progress,,TH-63 · apto 63-102 · avance (%),0
buildings.TH-63.units.63-102.phase,,TH-63 · apto 63-102 · fase,Obra común
buildings.TH-63.units.63-201.progress,,TH-63 · apto 63-201 · avance (%),0
buildings.TH-63.units.63-201.phase,,TH-63 · apto 63-201 · fase,Obra común
buildings.TH-63.units.63-202.progress,,TH-63 · apto 63-202 · avance (%),0
buildings.TH-63.units.63-202.phase,,TH-63 · apto 63-202 · fase,Obra común
buildings.TH-63.units.63-301.progress,,TH-63 · apto 63-301 · avance (%),0
buildings.TH-63.units.63-301.phase,,TH-63 · apto 63-301 · fase,Obra común
buildings.TH-63.units.63-302.progress,,TH-63 · apto 63-302 · avance (%),0
buildings.TH-63.units.63-302.phase,,TH-63 · apto 63-302 · fase,Obra común
buildings.TH-64.units.64-101.progress,,TH-64 · apto 64-101 · avance (%),0
buildings.TH-64.units.64-101.phase,,TH-64 · apto 64-101 · fase,Obra común
buildings.TH-64.units.64-102.progress,,TH-64 · apto 64-102 · avance (%),0
buildings.TH-64.units.64-102.phase,,TH-64 · apto 64-102 · fase,Obra común
buildings.TH-64.units.64-201.progress,,TH-64 · apto 64-201 · avance (%),0
buildings.TH-64.units.64-201.phase,,TH-64 · apto 64-201 · fase,Obra común
buildings.TH-64.units.64-202.progress,,TH-64 · apto 64-202 · avance (%),0
buildings.TH-64.units.64-202.phase,,TH-64 · apto 64-202 · fase,Obra común
buildings.TH-64.units.64-301.progress,,TH-64 · apto 64-301 · avance (%),0
buildings.TH-64.units.64-301.phase,,TH-64 · apto 64-301 · fase,Obra común
buildings.TH-64.units.64-302.progress,,TH-64 · apto 64-302 · avance (%),0
buildings.TH-64.units.64-302.phase,,TH-64 · apto 64-302 · fase,Obra común
buildings.TH-65.units.65-101.progress,,TH-65 · apto 65-101 · avance (%),0
buildings.TH-65.units.65-101.phase,,TH-65 · apto 65-101 · fase,Obra común
buildings.TH-65.units.65-102.progress,,TH-65 · apto 65-102 · avance (%),0
buildings.TH-65.units.65-102.phase,,TH-65 · apto 65-102 · fase,Obra común
buildings.TH-65.units.65-201.progress,,TH-65 · apto 65-201 · avance (%),0
buildings.TH-65.units.65-201.phase,,TH-65 · apto 65-201 · fase,Obra común
buildings.TH-65.units.65-202.progress,,TH-65 · apto 65-202 · avance (%),0
buildings.TH-65.units.65-202.phase,,TH-65 · apto 65-202 · fase,Obra común
buildings.TH-65.units.65-301.progress,,TH-65 · apto 65-301 · avance (%),0
buildings.TH-65.units.65-301.phase,,TH-65 · apto 65-301 · fase,Obra común
buildings.TH-65.units.65-302.progress,,TH-65 · apto 65-302 · avance (%),0
buildings.TH-65.units.65-302.phase,,TH-65 · apto 65-302 · fase,Obra común
buildings.TH-66.units.66-101.progress,,TH-66 · apto 66-101 · avance (%),0
buildings.TH-66.units.66-101.phase,,TH-66 · apto 66-101 · fase,Obra común
buildings.TH-66.units.66-102.progress,,TH-66 · apto 66-102 · avance (%),0
buildings.TH-66.units.66-102.phase,,TH-66 · apto 66-102 · fase,Obra común
buildings.TH-66.units.66-201.progress,,TH-66 · apto 66-201 · avance (%),0
buildings.TH-66.units.66-201.phase,,TH-66 · apto 66-201 · fase,Obra común
buildings.TH-66.units.66-202.progress,,TH-66 · apto 66-202 · avance (%),0
buildings.TH-66.units.66-202.phase,,TH-66 · apto 66-202 · fase,Obra común
buildings.TH-66.units.66-301.progress,,TH-66 · apto 66-301 · avance (%),0
buildings.TH-66.units.66-301.phase,,TH-66 · apto 66-301 · fase,Obra común
buildings.TH-66.units.66-302.progress,,TH-66 · apto 66-302 · avance (%),0
buildings.TH-66.units.66-302.phase,,TH-66 · apto 66-302 · fase,Obra común
buildings.TH-67.units.67-101.progress,,TH-67 · apto 67-101 · avance (%),0
buildings.TH-67.units.67-101.phase,,TH-67 · apto 67-101 · fase,Obra común
buildings.TH-67.units.67-102.progress,,TH-67 · apto 67-102 · avance (%),0
buildings.TH-67.units.67-102.phase,,TH-67 · apto 67-102 · fase,Obra común
buildings.TH-67.units.67-201.progress,,TH-67 · apto 67-201 · avance (%),0
buildings.TH-67.units.67-201.phase,,TH-67 · apto 67-201 · fase,Obra común
buildings.TH-67.units.67-202.progress,,TH-67 · apto 67-202 · avance (%),0
buildings.TH-67.units.67-202.phase,,TH-67 · apto 67-202 · fase,Obra común
buildings.TH-67.units.67-301.progress,,TH-67 · apto 67-301 · avance (%),0
buildings.TH-67.units.67-301.phase,,TH-67 · apto 67-301 · fase,Obra común
buildings.TH-67.units.67-302.progress,,TH-67 · apto 67-302 · avance (%),0
buildings.TH-67.units.67-302.phase,,TH-67 · apto 67-302 · fase,Obra común
buildings.TH-68.units.68-101.progress,,TH-68 · apto 68-101 · avance (%),0
buildings.TH-68.units.68-101.phase,,TH-68 · apto 68-101 · fase,Obra común
buildings.TH-68.units.68-102.progress,,TH-68 · apto 68-102 · avance (%),0
